内网IP,Intranet IP
福州市,Fuzhou
墨尔本,Melbourne
广州市,Guangzhou
曼谷,Bangkok
珠海市,Zhuhai
东京,Tokyo
北京市,Beijing
浦那,Pune
孟买,Mumbai
海得拉巴,Hyderabad
加尔各答,Calcutta
诺伊达,Noida
西隆,Shillong Airport
首尔,Seoul
长春市,Changchun
大连市,Dalian
印多尔,Indore
钦奈,Chennai
班加罗尔,Bangalore
勒克瑙,Lucknow
德里,Delhi
苏拉特,Surat
古尔冈,GURUGRAM
新德里,New Delhi
维沙卡帕特南,Visakhapatnam
斋浦尔,Jaipur
呼和浩特市,Hohhot
锡林郭勒,Xilingol
包头市,Baotou
乌兰察布市,Ulanqab
阿拉善,Alxa
巴彦淖尔市,Bayannur
兴安盟,Hinggan League
鄂尔多斯市,Ordos City
乌海市,Wuhai
呼伦贝尔市,Hulunbuir
通辽市,Tongliao
赤峰市,Chifeng
香港,Hong Kong
台湾,Taiwan
圣何塞,San Jose
大阪,ŌSAKA
布里斯班,Brisbane
安顺市,Anshun
黔南,Qiannan Buyei and Miao Autonomous Prefecture
铜仁,Tongren
毕节,Bijie
遵义市,Zunyi
黔西南,Qianxinan Buyei and Miao Autonomous Prefecture
六盘水市,Liupanshui
银川市,Yinchuan
中卫市,Zhongwei
固原市,Guyuan
吴忠市,Wuzhong
南京市,Nanjing
常州市,Changzhou
滁州市,Chuzhou
合肥市,Hefei
济南市,Jinan
潍坊市,Weifang
德州市,Dezhou
胡志明,Ho Chi Minh City
鹤岗市,Hegang
牡丹江市,Mudanjiang
绥化市,Suihua
齐齐哈尔市,Qiqihar
双鸭山市,Shuangyashan
鸡西市,Jixi
哈尔滨市,Harbin
大庆市,Daqing
佳木斯市,Jiamusi
黑河市,Heihe
七台河市,Qitaihe
伊春市,Yichun
大兴安岭,Daxing'anling Prefecture
太原市,Taiyuan 
长治市,Changzhi
运城市,Yuncheng
晋中市,Jinzhong
忻州市,Xinzhou
晋城市,Jincheng
朔州市,Shuozhou
阳泉市,Yangquan
西安市,Xi'an
咸阳市,Xianyang
商洛市,Shangluo
铜川市,Tongchuan
渭南市,Weinan
汉中市,Hanzhong
安康市,Ankang
榆林市,Yulin
宝鸡市,Baoji
延安市,Yan'an
上海市,Shanghai
珀斯,Perth
阿德莱德,Adelaide
深圳市,Shenzhen
南宁市,Nanning
桂林市,Guilin
纳西克,Nashik
斯利那加,Srinagar
巴特那,Patna
郑州市,Zhengzhou
三门峡市,Sanmenxia
新乡市,Xinxiang
南阳市,Nanyang
濮阳市,Puyang
驻马店市,Zhumadian
商丘市,Shangqiu
洛阳市,Luoyang
漯河市,Luohe
开封市,Kaifeng
信阳市,Xinyang
周口市,Zhoukou
鹤壁市,Hebi
