SK宽带,SK Broadband
上海企舜,Shanghai Qishun
上海驰联,Shanghai Chi Lian
世纪互联,The Internet of the century
中信网络,CITIC Network
中华电信,China Telecom
互联网泰国,Internet Thailand
亚太电信,Asia Pacific Telecom
亚马逊,Amazon
俄罗斯电信,Russian Telecom
信实通信,Reliance Communications
内网IP,Intranet Ip
内蒙古广电,Inner Mongolia Radio and television
加拿大贝尔,"Bell, Canada"
华数,Number of flowers
华数传媒,WASU media
卡塔尔电信,Qatar Telecom
印尼金光,Golden Rays of Indonesia
印度电信,India Telecom
台湾之星,Star of Taiwan
台湾固网,Taiwan fixed network
台湾大哥大,Taiwan Mobile
吉视传媒,Goodview media
哈萨克斯坦电信,Kazakhstan Telecom
四川广电,Sichuan Radio and television
墨西哥电信,TELMEX
墨西哥美洲移动,Mexican American Mobile
多科莫,Docomo
大连理工大学,Dalian University of Technology
天威,Tianwei
天驰网络,Tianchi network
威瑞森,Verizon
层峰网络,Hierarchical peak network
山东广电,Shandong radio and television
山东青岛广电,Qingdao radio and television of Shandong Province
巴基斯坦电信,Pakistan Telecom
布伊格电信,Bouygues Telecom
广东广电,Guangdong radio and television
广州驰联,Guangzhou Chi Lian
广电,Radio and television
广西广电,Guangxi Radio and television
康卡斯特,Comcast
微软,Microsoft
德国电信,Deutsche Telekom
意大利电信,Telecom Italia
扎因,Zain
教育网,Education Network
新加坡电信,Singapore Telecom
新加坡第一通,First Call in Singapore
新疆广电,Xinjiang radio and television
方正宽带,Square broadband
日本电信电话,Nippon Telecom
星和移动,Stars and motion
有线通,Wired communication
柬埔寨信威,Cambodian prestige
橘子电信,Orange Telecom
歌华,Gehua
江苏广电,Jiangsu Radio and television
沃达丰,Vodafone
沃达丰印度,Vodafone India
河北广电,Hebei Radio and television
河南广电,Henan Radio and television
湄公网,Mekong network
湖北广电,Hubei Radio and television
湖南巨亚,"Juya, Hunan"
湖南广电,Hunan Radio and television
湖南有线,Hunan cable
澳大利亚电信,Telstra Australia
澳门电讯,Macau Telecom
珠江宽频,Pearl River broadband
电信,Telecommunications
电讯盈科,PCCW
百度,Baidu
皓宽网络,Broad-spectrum network
科技网,SCIENCENET
科进,Cochin
移动,Move
网上网,Online. Online
网宿,Net Lodging
罗杰斯通信,Rogers Communications
美国电话电报,AT&T CORPORATION
联通,Connected
脸书,Facebook
腾讯,Tencent
苹果,Apples
菲律宾长途电话公司,Long-distance calling
西班牙电信,TELEFÓNICA
西贡电信,Sai Kung Telecom
谷歌,Google
贵州广电,Guizhou Radio and television
越南军用通讯,Vietnamese military communications
越南电信,Vietnam Telecom
越南邮电,Vietnam Post
软银,Soft silver
辽宁广电,Liaoning Radio and television
远传电信,FAREASTONE
重庆广电,Chongqing Radio and television
铁通,Tietong
阿卡迈,Akamai
阿曼电信,Oman Telecom
阿里云,Aliyun
阿里巴巴,Ali Baba
陕西广电,Shaanxi Radio and television
雅虎,Yahoo
韩国电信,Korea Telecom
香港宽频,Hong Kong Broadband Network
香港新世界,Hong Kong New World
香港有线,Hong Kong cable
马来西亚电信,Malaysia Telecom
鹏博士,Dr Pang
黑龙江广电,Heilongjiang Broadcasting
