万丹,Banten
三宝颜锡布格省,Zamboanga province
三描礼士省,Zambales
三重县,Mie Prefecture
上海,Shanghai
不列颠哥伦比亚,British Columbia
东京都,Tokyo
东内格罗省,Negros Oriental
东加里曼丹,East Kalimantan
东努沙登加拉,East Nusa Tenggara
东南苏拉威西,Southeast Sulawesi
东塔省,Dongta province
东爪哇,East Java
东爪哇省,East Java
东米萨米斯省,Misamis Oriental
东萨马省,Eastern Samar
东达沃省,Davao Oriental
中加里曼丹,Central Kalimantan
中国,China
中央邦,Madhya Pradesh
中爪哇,Central Java
中苏拉威西,Central Sulawesi
丰田,Toyota
义安省,Nghệ An
乌兰巴托,Ulaanbaatar
乌干达,Uganda
乌汶府,Ubon Ratchathani
乌泰他尼府,Uthai Thani
乌隆府,UDON THANI
云南省,Yunnan Province
五所川原,Goshogawara
亚利桑那,Arizona
亚太地区,Asia Pacific
亚拉巴马,Alabama
亚齐特区,Aceh
京都府,Kyoto Prefecture
伊利诺伊,Illinois
伊富高省,Ifugao Province
伊斯法罕,Isfahan
伊洛伊洛省,Iloilo
会津若松,Aizu Wakamatsu
伦敦,London
佐治亚,Georgia
佐贺县,Saga Prefecture
佛丕府,Phetchaburi
佛得角,Cape Verde
佛统府,Fo Tong Fu
佛罗里达,Florida
佛蒙特,Vermont
俄亥俄,Ohio
俄克拉何马,Oklahoma
俄勒冈,Oregon
保和省,Bohol
信武里府,Sing Buri
克尔曼,Kerman
八打雁省,Batangas
八王子,Hachioji
兴安省,HƯNG YÊN
兵库县,Hyōgo Prefecture
内华达,Nevada
内布拉斯加,Nebraska
内湖省,Laguna
内蒙古,Inner Mongolia
冈山县,Okayama Prefecture
冲绳县,Okinawa Prefecture
列宁格勒,Leningrad
刚果共和国,Republic of the Congo
刚果民主共和国,Democratic Republic of the Congo
利比亚,Libya
利雅得地区,The Riyadh area
前江省,TIỀN GIANG
加利福尼亚,California
加利福尼亚州,California
加拉信府,Kalasin
努纳武特,NUNAVUT
北三宝颜省,Zamboanga del Norte
北乾省,BẮC KẠN
北京,Beijing
北伊罗戈省,Ilocos Norte
北加里曼丹,North Kalimantan
北卡罗来纳,North Carolina
北大年府,Pattani
北宁省,BẮC Ninh
北拉瑙省,Lanao del Norte
北方邦,Uttar Pradesh
北柳府,Chachoengsao
北标府,Bei Biao Fu
北榄坡府,Pak Lam Po House
北榄府,Samut Prakan
北江省,BẮC GIANG
北海道,Hokkaido
北爱尔兰,Northern Ireland
北甘马粦省,Camarines Norte
北碧府,Kanchanaburi
